⿰	∎	lr	IDS
# 亵 ['执', '𧘇']
# 亶. ['㐭.', '且']
# 亶J ['㐭s', '且']
# 亷 ['产.']
# 亸 ['享.t', '单']
# 亹. ['舋']
# 亹H ['舋H']
# 亹J ['舋']
# 亼 ['人']
# 亽 ['人']
# 亾. ['人']
# 亾T ['人']
# 仅 ['又']
# 仈T ['八t']
# 今. ['亽']
# 今H ['亼']
# 仍 ['乃']
# 仑 ['匕']
# 仓 ['㔾']
# 仔 ['子.']
# 仕 ['士']
# 仗. ['丈.']
# 仗J ['丈K']
# 付 ['寸']
# 仙 ['山']
# 仚 ['山']
# 仜 ['工']
# 仝 ['工']
# 仠 ['干']
# 仡 ['乞']
# 代 ['弋']
# 令. ['亽', '龴']
# 令H ['亼', '龴']
# 令J ['亼']
# 仦 ['小']
# 们 ['门']
# 仭J ['刄t']
# 仮. ['反.']
# 仮T ['反h']
# 仯. ['少.']
# 仯J ['少g']
# 仰 ['卬']
# 仱. ['今.']
# 仱H ['今H']
# 仳. ['比.']
# 仳H ['比h']
# 仴 ['月']
# 仵 ['午']
# 件 ['牛']
# 仸 ['夭']
# 任. ['壬']
# 任H ['壬h']
# 仼 ['王']
# 份T ['分t']
# 仾 ['互']
# 仿. ['方.']
# 仿J ['方s']
# 伀. ['公']
# 伀T ['公t']
# 企 ['止']
# 伂. ['巿']
# 伂K ['市']
# 伃 ['予']
# 伄 ['弔']
# 伅. ['屯.']
# 伅K ['屯p']
# 伇 ['殳']
# 伈 ['心']
# 伉. ['亢.']
# 伉J ['亢s']
# 伊 ['尹']
# 伋. ['及.']
# 伌 ['厄']
# 伍 ['五']
# 伎. ['支.']
# 伎V ['支t']
# 伏 ['犬.']
# 伐 ['戈']
# 休 ['木.']
# 伒 ['斤']
# 伔. ['冗']
# 伔K ['儿']
# 伕 ['夫']
# 伖 ['友']
# 众 ['从']
# 优 ['尤']
# 伙 ['火']
# 伛. ['区.']
# 伛T ['区w']
# 伞 ['个', '䒑']
# 伟 ['韦']
# 伡 ['车.']
# 伢 ['牙']
# 伣 ['见']
# 伤 ['𠂉']
# 伥 ['长']
# 伦 ['仑']
# 伧 ['仓']
# 伩. ['文.']
# 伩K ['文s']
# 伫 ['㝉.']
# 伬 ['尺']
# 伭 ['玄']
# 伮 ['奴']
# 伯 ['白']
# 伱 ['尒']
# 伲. ['尼.']
# 伲T ['尼h']
# 伴K ['半p']
# 伵 ['四']
# 伶. ['令.']
# 伶H ['令H']
# 伶J ['令J']
# 伷 ['由']
# 伸 ['申']
# 伹 ['且']
# 伺 ['司']
# 伻. ['平.']
# 伻J ['平p']
# 佀 ['㠯']
# 佂 ['正']
# 佃 ['田']
# 佄 ['甘']
# 佅 ['未']
# 但 ['旦']
# 佇. ['宁.']
# 佇J ['宁s']
# 佈 ['布']
# 佊 ['皮']
# 佌. ['此.']
# 佌T ['此h']
# 位. ['立.']
# 位J ['立s']
# 低. ['氐.']
# 低H ['氐h']
# 住 ['主.']
# 佐 ['左']
# 佑 ['右']
# 佒 ['央']
# 体 ['本']
# 佖 ['必']
# 佗. ['它.']
# 佗J ['它s']
# 佘. ['示.']
# 佘T ['示s']
# 余 ['亼', '朩']
# 佚 ['失']
# 佛 ['弗']
# 作 ['乍']
# 佞 ['𡚬']
# 佟. ['冬.']
# 佟J ['冬t']
# 你 ['尔']
# 佡 ['仚']
# 佢 ['巨']
# 佣. ['用.']
# 佣H ['用s']
# 佤 ['瓦']
# 佥 ['亼', '𭕄']
# 佦 ['石']
# 佨 ['包.']
# 佩 ['𫥞']
# 佫 ['各']
# 佬. ['老.']
# 佬T ['老H']
# 佭 ['夅']
# 佮 ['合']
# 佯 ['羊']
# 佰 ['百']
# 佱 ['㱏']
# 佲 ['名']
# 佳 ['圭']
# 佴. ['耳.']
# 佴K ['耳t']
# 併 ['并']
# 佶 ['吉']
# 佷 ['艮']
# 佸 ['舌']
# 佹 ['危']
# 佺. ['全.']
# 佺H ['全t']
# 佼. ['交.']
# 佼J ['交s']
# 佽. ['次.']
# 佽T ['次2']
# 佽J ['次h']
# 佾. ['䏌.']
# 佾T ['䏌T']
# 佾J ['䏌p']
# 佾K ['䏌K']
# 使. ['吏.']
