⿰	∎	lr	IDS
# 嘯H ['肅H']
# 嘰 ['幾']
# 嘱 ['属']
# 嘲. ['朝']
# 嘲J ['龺']
# 嘳 ['貴']
# 嘴. ['觜.']
# 嘴H ['觜H']
# 嘴T ['觜T']
# 嘵 ['堯']
# 嘶 ['斯']
# 嘷. ['臯.']
# 嘷T ['臯T']
# 嘸 ['無']
# 嘹 ['尞']
# 嘺 ['喬']
# 嘻 ['喜']
# 嘼 ['㽞']
# 嘽 ['單']
# 嘾 ['覃']
# 嘿 ['黑']
# 噀. ['巽.']
# 噀H ['巽H']
# 噀T ['巽T']
# 噁 ['惡']
# 噂. ['尊.']
# 噂J ['尊K']
# 噃. ['番.']
# 噃H ['番H']
# 噄. ['絜.']
# 噄T ['絜T']
# 噄J ['丯', '糸J']
# 噄K ['絜K']
# 噅. ['爲.']
# 噅H ['為']
# 噅K ['爲J']
# 噆. ['朁.']
# 噆H ['朁H']
# 噆J ['朁J']
# 噆K ['朁K']
# 噇. ['童.']
# 噇J ['童J']
# 噈. ['就.']
# 噈K ['就J']
# 噉. ['敢.']
# 噉H ['敢H']
# 噊. ['矞.']
# 噊H ['矞H']
# 噊K ['矞J']
# 噋. ['敦.']
# 噋J ['敦J']
# 噌. ['曾.']
# 噌J ['曾J']
# 噍. ['焦.']
# 噍J ['焦J']
# 噎 ['壹']
# 噏. ['翕.']
# 噏J ['翕J']
# 噐 ['工']
# 噑. ['皐.']
# 噑T ['皐T']
# 噒 ['粦']
# 噓. ['虛.']
# 噓H ['虛H']
# 噔 ['登']
# 噕. ['爲.']
# 噕K ['爲J']
# 噖. ['琴.']
# 噖T ['琴H']
# 噗. ['菐.']
# 噗H ['菐T']
# 噘 ['厥']
# 噙. ['禽.']
# 噙J ['禽J']
# 噚. ['尋.']
# 噚H ['尋H']
# 噛 ['歯']
# 噜 ['鲁']
# 噝 ['絲.']
# 噞 ['僉']
# 噟 ['䧹.']
# 噠. ['達.']
# 噠H ['達H']
# 噠J ['達J']
# 噡. ['詹.']
# 噡H ['詹H']
# 噡J ['詹J']
# 噡V ['詹gs']
# 噢. ['奥']
# 噢H ['奧H']
# 噢J ['奧J']
# 噣 ['蜀']
# 噤. ['禁.']
# 噤H ['禁H']
# 噤T ['禁T']
# 噥 ['農']
# 噦 ['歲']
# 噧. ['萬.']
# 噧T ['萬H']
# 器. ['犬.']
# 器H ['犬d']
# 器J ['大']
# 噩 ['工']
# 噪. ['喿.']
# 噪T ['喿T']
# 噫. ['意.']
# 噫J ['意J']
# 噬 ['筮']
# 噭. ['敫.']
# 噭J ['敫J']
# 噮 ['睘']
# 噯. ['愛.']
# 噯T ['愛T']
# 噰. ['雍.']
# 噰K ['雍J']
# 噱. ['豦.']
# 噱H ['豦H']
# 噲 ['會']
# 噳. ['虞.']
# 噳H ['虞H']
# 噳K ['虞J']
# 噴 ['賁']
# 噵 ['道']
# 噶. ['葛.']
# 噶H ['葛H']
# 噷. ['歆.']
# 噷V ['歆J']
# 噸. ['頓.']
# 噸J ['頓J']
# 噸K ['頓pt']
# 噹 ['當']
# 噺. ['新.']
# 噺H ['新H']
# 噺J ['新J']
# 噻 ['塞.']
# 噼 ['辟.']
# 噽 ['喜']
# 噾. ['窨.']
# 噾H ['窨H']
# 噾K ['窨K']
# 噿. ['翠.']
# 噿H ['翠H']
# 噿K ['翠K']
# 嚀. ['寧.']
# 嚀J ['寧J']
# 嚁. ['翟.']
# 嚁H ['翟H']
# 嚁K ['翟J']
# 嚂. ['監.']
# 嚂H ['監H']
# 嚃. ['遝.']
# 嚃H ['遝H']
# 嚃K ['遝J']
# 嚄. ['蒦.']
# 嚄H ['蒦T']
# 嚄J ['蒦J']
# 嚅. ['需.']
# 嚅H ['需H']
# 嚆. ['蒿.']
# 嚆H ['蒿H']
# 嚆J ['蒿J']
# 嚇. ['赫.']
# 嚇H ['赫H']
# 嚈. ['厭.']
# 嚈T ['厭T']
# 嚉 ['對']
# 嚊. ['鼻.']
# 嚊K ['鼻J']
# 嚋 ['壽']
# 嚌. ['齊.']
# 嚌H ['齊H']
# 嚌J ['齊J']
# 嚍 ['盡']
# 嚎. ['豪.']
# 嚎K ['豪J']
# 嚏 ['疐']
# 嚐. ['嘗.']
# 嚐H ['嘗H']
# 嚑 ['熏']
# 嚒. ['麼.']
# 嚒H ['麼H']
# 嚒T ['麼T']
# 嚒K ['麽J']
# 嚓. ['察.']
# 嚓T ['察T']
# 嚓K ['察J']
# 嚔 ['𤴡']
# 嚕 ['魯']
# 嚖. ['慧.']
# 嚖T ['慧H']
# 嚗 ['暴']
# 嚘. ['憂.']
# 嚘T ['憂T']
# 嚙 ['齒']
# 嚚 ['臣']
# 嚛. ['樂.']
# 嚛T ['樂T']
# 嚜 ['墨']
# 嚝. ['廣.']
# 嚝H ['廣H']
# 嚝T ['廣T']
# 嚝J ['廣J']
# 嚞 ['吉', '喆']
# 嚟 ['黎']
# 嚠 ['劉']
# 嚡 ['鞋']
# 嚢 ['𠮛', '𠀎', '𧘇']
# 嚣 ['页']
# 嚤. ['摩.']
# 嚤H ['摩H']
# 嚥. ['燕.']
# 嚥H ['燕H']
# 嚦. ['歷.']
# 嚦H ['歷H']
# 嚧. ['盧.']
# 嚧H ['盧H']
# 嚨. ['龍.']
# 嚨T ['龍T']
# 嚨J ['龍J']
# 嚩. ['縛.']
# 嚩T ['縛T']
# 嚩J ['縛J']
# 嚪. ['閻.']
# 嚪K ['閻J']
# 嚫. ['親.']
# 嚫H ['親H']
# 嚫J ['親J']
# 嚬. ['頻.']
# 嚬J ['頻K']
# 嚭 ['喜']
# 嚮. ['鄉']
# 嚮J ['𠁣', '阝']
# 嚮K ['鄕.']
# 嚯. ['霍.']
# 嚯H ['霍H']
# 嚯K ['霍J']
# 嚰. ['磨.']
# 嚰T ['磨T']
# 嚱. ['戲.']
# 嚱H ['戲H']
# 嚲. ['享.t', '單']
# 嚲J ['享st', '單']
# 嚳. ['𦥯', '告']
# 嚳H ['𦥯', '吿']
# 嚴. ['𠪚.']
# 嚴H ['𠪚T']
# 嚵. ['毚.']
# 嚵H ['毚H']
# 嚶 ['嬰']
# 嚷. ['襄.']
# 嚷J ['襄J']
# 嚸. ['點.']
# 嚸T ['點T']
# 嚹. ['罅.']
# 嚹H ['罅H']
# 嚺. ['辶.', '罒', '㒸']
# 嚺T ['辶H', '罒', '㒸']
# 嚻 ['頁']
# 嚼. ['爵.']
# 嚼J ['爵K']
# 嚽. ['贅.']
# 嚽H ['贅H']
# 嚾. ['雚.']
# 嚾H ['雚H']
# 嚾J ['雚2p']
# 嚾K ['雚K']
# 嚿. ['舊.']
# 嚿H ['舊H']
# 囀. ['轉']
# 囀K ['車', '叀', '寸']
# 囁. ['聶.']
# 囁J ['聶J']
# 囂 ['頁']
# 囃. ['雜.']
# 囃H ['雜H']
# 囃J ['雜J']
# 囄. ['離.']
# 囄V ['離J']
# 囅 ['單', '展']
# 囆. ['蠆.']
# 囆H ['蠆H']
# 囇. ['麗.']
# 囇T ['麗T']
# 囈. ['藝.']
# 囈H ['藝H']
# 囈T ['藝T']
# 囈J ['藝J']
# 囈K ['藝K']
# 囉. ['羅.']
# 囉J ['羅J']
# 囉V ['羅V']
# 囊 ['𠮛', '𠀎', '𧘇']
# 囋 ['贊']
# 囌. ['蘇.']
# 囌H ['蘇H']
# 囍. ['喜', '喜']
# 囍K ['𠶮', '𠶮']
# 囎. ['贈.']
# 囎J ['贈K']
# 囏 ['廿', '人', '喜']
# 囐. ['獻.']
# 囐H ['獻H']
# 囐J ['獻J']
# 囑. ['屬.']
# 囑J ['屬J']
# 囒. ['蘭.']
# 囒T ['蘭H']
# 囓. ['齧.']
# 囓T ['齧T']
# 囓J ['丯', '齒']
# 囔 ['囊']
# 囕. ['覽.']
# 囕K ['覽H']
# 囖 ['籮.']
# 囘 ['巳.']
# 囝 ['子.']
# 囟 ['龱']
# 因. ['大d']
# 因J ['大.']
# 囡 ['女']
# 团 ['才.']
# 団 ['寸']
# 囤. ['屯.']
# 囤J ['屯J']
# 囥. ['亢.']
# 囥J ['亢J']
# 囦. ['水d']
# 囦J ['水.']
# 园 ['元']
# 囮. ['化.']
# 囯 ['王']
# 困. ['木d']
# 困J ['木.']
# 囱. ['夂d']
# 囱T ['夕']
# 囱J ['夊d']
# 図. ['乂']
# 図J ['㐅']
# 围 ['韦']
# 囵 ['仑']
# 囶. ['𡉀']
# 囷. ['禾d']
# 囷J ['禾.']
# 囸 ['正']
# 囹. ['令.']
# 囹H ['令dhzd']
# 囹J ['令J']
# 囻 ['民']
# 国 ['玉']
# 图 ['冬.']
# 囿. ['有.']
# 囿T ['有T']
# 圀. ['方.']
# 圀H ['方.']
# 圀J ['方s']
# 圁. ['言.']
# 圁J ['言J']
# 圂. ['豕d']
# 圂J ['豕.']
# 圃. ['甫.']
# 圃V ['甫z']
# 圄 ['吾']
# 圅 ['龴', '𢆉']
# 圆 ['员']
# 圇. ['侖.']
# 圇H ['侖d']
# 圈. ['卷.']
# 圈H ['卷.d']
# 圈J ['卷J']
# 圉 ['幸']
# 圊. ['青.']
# 圊T ['青T']
# 圊J ['靑']
# 國 ['或']
# 圌 ['耑']
# 圍 ['韋']
# 圎 ['貟']
# 圏. ['巻']
# 圏T ['巻.d']
# 圐 ['𬙙']
# 圑. ['尃.']
# 圑T ['尃H']
# 園. ['袁sd']
# 園H ['袁.d']
# 園V ['袁.']
# 圓 ['員']
# 圔 ['盍']
# 圕 ['書']
# 圖H ['啚J']
# 圗 ['𠫘']
# 團 ['專']
# 圙 ['面']
# 圚 ['貴']
# 圛 ['睪']
# 圜. ['睘.d']
# 圜J ['睘.']
# 圝. ['䜌T']
# 圝T ['䜌s.s']
# 圝J ['䜌J']
# 圞. ['欒T']
# 圞K ['欒.h..']
