!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
HT	⿱艹H嘉
㔺J	⿱十𠃒U
㔺T	⿱十⿺七.十
㔻	⿱不十
㔼.	⿱推.十
㔼J	⿱推J十
㔽	⿱⺊回
㔾	∎
㔿.	⿱一丩
㔿K	⿸!戉丨
㕀K	⿱由㔾
㕀T	⿳由𠃌乚
㕁	⿰𠫤卩
㕂.	⿸厂今.
㕂T	⿸厂今H
㕃	⿸厂开
㕄	⿸厂𢆰
㕅	⿸厂甲
㕆	⿸厂古
㕇.	⿸厂立.
㕇K	⿸厂立J
㕈	⿸厂衣.
㕉	⿸厂合.
㕊	⿸厂甫.
㕋	⿸厂金.
㕌	⿸厂㝵
㕍.	⿸厂隹.
㕍p	⿸厂隹J
㕎	⿸厂盍
㕐	⿸厂舄
㕑	⿸厂尌
㕒	⿸厂義
㕓	⿸厂墨.
㕕	⿱厶厶
㕖.	⿱厽木.
㕖T	⿱厽木d
㕗	⿺羑厶
㕘	⿱厽尒
㕚	⿰丶叉
㕛.	⿱又d又.
㕛T	⿱又.又.
㕛d	⿱又d又d
㕜	⿱中又.
㕝	⿱古又.
㕞	⿰𡰯又.
㕟	⿰⿱⺊𠕁又.
㕠	⿱准.又.
㕢	⿰⿳⺊冖⿱一貝又.
㕣.	⿱八.口
㕣T	⿱八T口
㕤	⿰口九.
㕥	⿰口人.
㕦.	⿱口大.
㕦T	⿱口大d
㕧	⿰口尸
㕨	⿰口凡.
㕩.	⿰口丰.
㕩T	⿰口丰H
㕪	⿰口冘.
㕫	⿰口方.
㕬.	⿰口公.
㕬T	⿰口公T
㕭	⿰口夭.
㕮.	⿰口父.
㕯.	⿵内口
㕰	⿰口毛.
㕱	⿰口尤
㕲	⿰口木.
㕳	⿰口凶
㕴	⿰口冗
㕵	⿰口王.
㕶	⿰口五
㕷	⿰口白
㕸.	⿰口立.
㕸V	⿰口立J
㕹.	⿰口犮.
㕹T	⿰口犮H
㕺	⿱吅丂
㕻.	⿱丶否
㕻K	⿱丨否
㕼	⿰口⿹勹⿺𠃊㐅
㕽	⿰口以
㕾	⿱小.⿰口匕.
㕿	⿱丿杏.
㖀	⿰口聿
㖁	⿰口𠫤
㖂	⿰口曳
㖃	⿰口后
㖄	⿰口州
㖅	⿰口戌
㖆	⿰口曲
㖇	⿰口而
㖈K	⿱老.口
㖈T	⿱老T口
㖉	⿰口企
㖊	⿰口寻
㖋	⿱介⿰口匕.
㖌	⿱仇⿰口匕.
㖍	⿱斗⿰口匕.
㖎	⿱⿰口匕.介
㖏	⿰口圼
㖐	⿱吅尹
㖑	⿰口戒
㖒	⿰口弟
㖓	⿰口夆
㖔.	⿰口呑
㖔T	⿰口吞
㖕	⿰口辛.
㖖.	⿱立.古
㖖J	⿱立J古
㖗.	⿰口岑.
㖗H	⿰口岑H
㖘	⿰口辰.
㖙	⿱加⿰口匕.
㖚	⿱付⿰口匕.
㖛	⿱古⿰口匕.
㖜	⿳亠J口⿰口匕.
㖝	⿱未.⿰口匕.
㖞	⿰口呙
㖟	⿰口受
㖠.	⿰口奈.
㖠T	⿰口奈T
㖡.	⿰口夜.
㖡V	⿰口夜J
㖢.	⿰口庛.
㖢J	⿰口庛K
㖣.	⿰口咅.
㖣V	⿰口咅J
㖤	⿰口函.
㖥	⿰口囷.
㖦	⿰口東
㖧	⿰口昏
㖨T	⿰口彔H
㖩.	⿰口取
㖪	⿰口或
㖫.	⿰口夌.
㖫J	⿰口夌J
㖫T	⿰口夌T
㖭H	⿰口忝H
㖮	⿰口侖
㖯	⿱同.⿰口匕.
㖰	⿱⿰口匕.同.
㖱	⿱夜J口
㖲	⿱如⿰口匕.
㖳	⿱汝⿰口匕.
㖴	⿰口芴H
㖵	⿰口具.
㖶.	⿰口垔.
㖶T	⿰口垔H
㖷	⿰口是
㖸.	⿰口虐.
㖸T	⿰口虐H
㖹.	⿰口盆.
㖹T	⿰口盆T
㖺.	⿰口春.
㖺V	⿰口春J
㖻.	⿰口柔.
㖻T	⿰口柔T
㖼.	⿰口某.
㖽	⿰口頁
㖾	⿱吅屰
㖿.	⿰口耶.
㖿H	⿰口耶H
㗀.	⿰口幽.
㗁	⿰口咢
㗂	⿰口省.
㗃	⿰口昬
㗅.	⿰口胡.
㗅H	⿰口胡H
㗅T	⿰口胡T
㗆	⿰口革
㗇	⿰口叚.
㗈V	⿰口勇H
㗉.	⿱㓞.各.
㗉T	⿱⿰丰.t刀各.
㗊	⿰吕吕
㗋.	⿰口矦.
㗋T	⿰口矦H
㗌.	⿰口室.
㗌K	⿰口室J
㗍.	⿰口香.
㗍T	⿰口香H
㗎	⿰口架.
㗏	⿰口歪
㗐	⿰口盇
㗑	⿰口拜
㗒	⿰口哀.
㗓.	⿰口追.
㗓T	⿰口追H
㗔.	⿰口虔.
㗔J	⿰口虔K
㗔T	⿰口虔H
㗕	⿰口冓
㗖.	⿰口舀.
㗖J	⿰口舀K
㗗.	⿰另卑.
㗗T	⿰𠮠卑.
㗘.	⿰口尃.
㗘T	⿰口尃H
㗙	⿰口芻
㗚.	⿰口栗.
㗚T	⿰口栗T
㗛	⿰口笑
㗜.	⿰口畜.
㗜K	⿰口畜J
㗝	⿰口羔
㗞	⿰口破
㗟	⿱⿰氵⿱亠J土.⿰口匕.
㗠	⿱始⿰口匕.
㗡	⿱芿H⿰口匕.
㗢	⿰口動
㗣.	⿰口帶.
㗣T	⿰口帶H
㗤.	⿱戚口
㗦.	⿰口聊.
㗦T	⿰口聊H
㗧.	⿰口窒.
㗧T	⿰口窒H
㗨.	⿱殹.口
㗨T	⿱殹T口
㗩.	⿰口習.
㗩T	⿰口習H
㗩V	⿰口習K
㗪.	⿰口紫.
㗪T	⿰口紫T
㗫.	⿰口祭.
㗫T	⿰口祭T
㗭.	⿰口悉.
㗯	⿲者K口匕.
㗰	⿰口從
㗱.	⿰口集.
㗱T	⿰口集T
㗱V	⿰口集J
㗲	⿰口畫
㗳	⿰口答
㗴.	⿰口閒.
㗴J	⿰口間
㗵	⿰口欻
㗷	⿰口⿳宀.𠀎贝
㗸	⿰口䘖
㗹	⿰口⿱隹J心
㗺	⿰口䨿.
㗻.	⿰口過.
㗻H	⿰口過H
㗼.	⿰口業.
㗼T	⿰口業T
㗽	⿱鄉口
㗾.	⿰口靴.
㗾H	⿰口靴H
㗾T	⿰口靴T
㗿	⿰口閜
㘀.	⿰口䊆.
㘀T	⿰口䊆T
㘁	⿰口睪
