!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
HT	⿱艹H嘉
𦽧.	⿱艹.䅎.
𦽨.	⿱艹.較.
𦽨T	⿱艹H較.
𦽩.	⿱艹.楺.
𦽩T	⿱艹H楺T
𦽪.	⿱艹.⿰斤畐
𦽪T	⿱艹H⿰斤畐
𦽫.	⿱艹.感.
𦽫T	⿱艹H感H
𦽬.	⿳艹.癶.⿰𡕒𡕒
𦽬T	⿳艹H癶.⿰㐄㐄
𦽭	⿱芕.𦥜
𦽮.	⿱艹.媻.
𦽮T	⿱艹H媻H
𦽯	⿱艹.極.
𦽰	⿰茅.爭.
𦽱	⿳艸⿰⿱丿口卩⿱一艸
𦽳	⿱艹H愚
𦽴H	⿱艹H靖.
𦽴U	⿱艹H靖J
𦽵	⿱艹H⿰阝⿱辛.女
𦽶T	⿱艹H椰H
𦽸	⿱葭H⿰𠂇十
𦽺	⿱艹H⿰咢攵.
𦽼	⿱艹H溧T
𦽾	⿱艹H溜
𦽿	⿱艹H賈
𦾁	⿳艹H𡗗.𤽄V
𦾂	⿳艹H珍心
𦾃	⿱艹H搕
𦾅	⿳艹H⿰丰.t刀⿱人.氺.
𦾆	⿱䓵T云
𦾊	⿱䓵T方.
𦾋	⿳𦭝U冖舛
𦾌	⿱艹H蜂
𦾍	⿳艹H⿰⿴𠂊冫⿺乀㇇𣌢V
𦾎	⿱艹H䅗T
𦾏.	⿰華.甲
𦾏T	⿰華H甲
𦾐.	⿱𦱽皿.
𦾐T	⿳艹H⿰臣人d皿.
𦾑	⿱艹.剽.
𦾒.	⿳𦭝.一我
𦾒T	⿳⿰一〢一⿱罒一
𦾒U	⿳𦭝U一我
𦾓	⿱艹.𠌶
𦾔.	⿱萑.旧
𦾔T	⿱萑H旧
𦾕	⿱艹.腷.
𦾖	⿳艹.⿻㝊丷虫
𦾗.	⿱⿻𦫸.⿳⿻コ一一丷皿.
𦾗T	⿱⿻𦫸T⿳⿻コ一一丷皿.
𦾙	⿱艹.𢱭
𦾚	⿱艹.虞.
𦾛.	⿱艹.暐
𦾛T	⿱艹H暐
𦾜	⿱艹.貇
𦾝	⿱蒼.山
𦾟H	⿱艹H盞
𦾠	⿰草.佘.
𦾢	⿱艹.椹J
𦾣	⿱艹.搉J
𦾤	⿱艹.愈.
𦾥	⿱艹.暈
𦾦	⿱艹.𡠋
𦾧	⿱艹H暑.
𦾨	⿱𦵮.女
𦾩	⿱艹.䧟.
𦾫	⿱艹.⿰⿳士.冖禾.殳.
𦾬.	⿱艹.摺.
𦾬T	⿱艹H摺H
𦾭.	⿱艹.牓.
𦾭T	⿱艹H牓H
𦾮.	⿱艹.榦.
𦾯T	⿱艹H綠H
𦾰.	⿱艹.⿸广.⿱回禾.
𦾰T	⿱艹H⿸广.⿱回禾d
𦾱.	⿱艹.摷
𦾱T	⿱艹H摷
𦾲.	⿱艹.兾.
𦾲T	⿱艹H兾.
𦾴.	⿱艹.緐
𦾴T	⿱艹H緐
𦾵.	⿱艹.榮.
𦾵T	⿱艹H榮T
𦾶.	⿱艹.漸
𦾶T	⿱艹H漸
𦾷.	⿱艹.漻.
𦾷T	⿱艹H漻H
𦾸.	⿱艹.端.
𦾸T	⿱艹H端.
𦾹.	⿱艹.酸.
𦾹T	⿱艹H酸T
𦾺.	⿱艹.銚
𦾺T	⿱艹H銚
𦾻.	⿱艹.㥯.
𦾻T	⿱艹H㥯T
𦾼.	⿱艹.遘.
𦾼T	⿱艹H遘H
𦾽.	⿱艹.⿺辶.𥄳.
𦾽T	⿱艹H遝H
𦾾.	⿱艹.遙.
𦾾H	⿱艹H遙H
𦾾T	⿱艹H遙T
𦾿.	⿱艹.精.
𦾿T	⿱艹H精T
𦿀.	⿱艹.⿰禾d者.
𦿀T	⿱艹H⿰禾d者.
𦿁.	⿱艹.稫
𦿁T	⿱艹H稫
𦿂.	⿱艹.鳶
𦿂T	⿱艹H鳶
𦿄.	⿱艹.暢
𦿄T	⿱艹H暢
𦿅.	⿱艹.凴
𦿅T	⿱艹H凴
𦿆.	⿱艹.碭
𦿆T	⿱艹H碭
𦿇	⿱艹.⿰魚阝
𦿊.	⿱艹.𧇄.
𦿊T	⿱艹H𧇄T
𦿋.	⿱艹.朅.
𦿋T	⿱艹H朅H
𦿌.	⿱艹.㬎.
𦿌T	⿱艹H㬎.
𦿍.	⿱艹.僕.
𦿍T	⿱艹H僕H
𦿎.	⿱艹.⿰祟.攵.
𦿎T	⿱艹H⿰祟T攵.
𦿏.	⿱艹.夢.
𦿏T	⿱艹H夢H
𦿐.	⿱艹.𢧵
𦿐T	⿱艹H⿰⿱𣥂⿰丨⿱亠.龶.戈
𦿑	⿳艸昍艸
𦿒.	⿱艹.榛.
𦿒T	⿱艹H榛.
𦿓.	⿱艹.毄.
𦿓T	⿱艹H毄.
𦿔.	⿱艹.弊.
𦿕.	⿱蓷.木.
𦿕T	⿱蓷H木d
𦿖.	⿱艹.塶.
𦿖T	⿱艹H塶H
𦿗.	⿱蒿.毛.
𦿗T	⿱蒿H毛.
𦿗U	⿳艹H丶⿳𠮛冖𣬦
𦿙.	⿳艹.⺈⿳𠔿z比.夬.
𦿚	⿱艹.遝.
𦿛	⿳𦭝.冖伯
𦿞	⿱艹H漗.
𦿟	⿱艹H綺.
𦿠	⿱蒮H⿰𠂇十
𦿡	⿱艹H暌
𦿢T	⿳艹H冖⿳一豕d⿰𠂇十
𦿢U	⿱蒙H⿰𠂇十
𦿣	⿱蒿H⿰𠂇十
𦿤	⿱蓄H⿰𠂇十
𦿥	⿱𦵵T⿰𠂇十
𦿦	⿳艹H𠔿z剡
𦿧	⿱芷H⿵戊示T
𦿨	⿱艹H⿰禾d⿱𡿧田
𦿩	⿱蓸H廾
𦿪	⿱蓬H廾
𦿫	⿱艹H⿰言.⿱大.日
𦿭	⿱艹H滿H
𦿮	⿱艹H⿰㒸d生.
𦿰	⿱艹H瑪
𦿱	⿵茂H韭t
𦿵	⿱⿻苩H北H文.
𦿷	⿱艹.⿰犭亀
𦿸	⿱莚J虫
𦿹T	⿱𠻚T水d
𦿹U	⿱𠻚T水.
𦿺	⿱艹H䊍T
𦿻T	⿱艹.銓H
𦿻U	⿱艹H⿰金dt⿱入.王.
𦿼	⿱艹H⿹勹歮
𦿽	⿱艹H䅡
𧀀	⿱艹H獄.
𧀁	⿱艹H𥠁T
𧀂	⿳艹H爫.⿰示T示T
𧀄.	⿱艹.畼
𧀄T	⿱艹H畼
𧀅.	⿱𦭝.⿹戈禾d
𧀅T	⿱𦭝T⿹戈禾d
𧀆.	⿳𦭝.冖豆.
𧀆T	⿳𦭝T冖豆.
𧀇.	⿱艹.⿴囗細.
𧀇T	⿱艹H⿴囗細.
𧀈	⿳艹.⿰⿶凵⿻𠃋丶⿶凵⿻𠃋丶日
𧀉	⿱艹.⿰氵㕘
𧀊	⿱艹.綵.
𧀋	⿱艹.麽.
𧀍.	⿱艸⿶⿴凹⿱⿰一一小s王.
𧀎	⿱艹H膏.
𧀏U	⿱艹.銃.
𧀏V	⿱艹.銃J
𧀐U	⿱艹.瑰.
𧀐V	⿱艹.瑰H
𧀑	⿱艹.種
𧀓	⿱艹.屢.
𧀔U	⿱艹H⿰豸.尨H
𧀕.	⿱艹.⿰阝⿺辶.辛.
𧀕T	⿱艹H⿰阝⿺辶H辛.
𧀖.	⿱艹.䅠
𧀖T	⿱艹H䅠
𧀗.	⿱艹.䎩.
𧀘.	⿱艹.㥽
𧀘T	⿱艹H㥽
𧀙.	⿱艹.㷦.
𧀚.	⿱艹.⿲禾d司火.
𧀚T	⿱艹H⿲禾d司火.
𧀜	⿱艹.熖.
𧀝.	⿱艹.滌.
𧀝T	⿱艹H滌H
𧀞U	⿰⿱艹.果d吏.
𧀞V	⿰⿱艹.果d吏K
𧀟	⿰苔.盈
𧀠.	⿱艹.緹.
𧀠T	⿱艹H緹.
𧀡.	⿱艹.潐.
𧀡T	⿱艹H潐.
𧀢.	⿱艹.蹀.
𧀢T	⿱艹H蹀T
𧀣.	⿱艹.誰.
𧀣T	⿱艹H誰.
𧀤.	⿱艹.齒
𧀤T	⿱艹H齒
𧀥.	⿱艹.憂.
𧀥T	⿱艹H憂T
𧀦.	⿱艹.魯
𧀦T	⿱艹H魯
𧀧.	⿳𦭝.冖夌.
𧀧T	⿳𦭝T冖夌T
𧀧U	⿳𦭝U冖夌T
𧀨.	⿱艹.巤
𧀨T	⿳艹H巛⿱囚.⿲𠄌二⿲𠄌二㇂
𧀩.	⿱艹.賜
𧀩T	⿱艹H賜
𧀪.	⿱艹.潦
𧀪T	⿱艹H潦
𧀬.	⿱艹.膝.
𧀬T	⿱艹H膝H
𧀮.	⿱艹.敷.
𧀮T	⿱艹H敷H
𧀯.	⿱艹.審.
𧀯T	⿱艹H審H
𧀰.	⿱艹.蹄.
𧀰K	⿱艹H蹄J
𧀰T	⿱艹H蹄.
𧀱.	⿱艹.慸.
𧀲.	⿱艹.閲
𧀲T	⿱艹H閱H
𧀳.	⿱艹.⿰镸⿻肀⿰⿱丿丿⺀
𧀳T	⿱艹H⿰镸⿻肀⿰⿱丿丿⺀
𧀴.	⿱艹.膚.
𧀴T	⿱艹H膚T
𧀵.	⿱艹.槧.
𧀵T	⿱艹H槧T
𧀶.	⿳艹.士.⿳冖田⿱厶龰.
𧀶T	⿳艹H士.⿳冖田⿱厶龰.
𧀷.	⿱艹.𢒫.
𧀷T	⿱艹H𢒫T
𧀸.	⿱艹.㒒.
𧀸T	⿱艹H㒒T
𧀹.	⿱艹.遮.
𧀹T	⿱艹H遮H
𧀺.	⿱艹.頡
𧀺T	⿱艹H頡
𧀻.	⿱艹.儋.
𧀻T	⿱艹H儋H
𧀼.	⿱艹.⿰⿱屮p㠯.辛.
𧀼T	⿱艹H⿰⿱屮p㠯.辛.
𧀽.	⿱蒩.皿.
𧀽T	⿱蒩H皿.
𧀾.	⿳艹.雨gh弟
𧀾T	⿳艹H雨gt⿱八T𢎨
𧀾U	⿳艹H雨gt⿱八.𢎨
𧀿.	⿱艹.鄭.
𧀿T	⿱艹H鄭.
𧁀.	⿱艹.𠏉U
𧁀T	⿱艹H𠏉U
𧁁.	⿳艹.吅⿱𠀎𧘇.
𧁁T	⿳艹H吅⿱𠀎𧘇.
𧁃.	⿱艹.稸.
𧁃T	⿱艹H稸.
𧁅.	⿳艹.⿰乃⿱一⿺𠃊⺊金.
𧁅T	⿳艹H⿰乃𠂛.金.
𧁅U	⿳艹.⿰乃正.金.
𧁆.	⿱艹.⿰⿱山水d金.
𧁆T	⿱艹H⿰⿱山水d金.
𧁇	⿳屮.⿰艸屮.⿱一⿲𠂈.屮.又.
𧁉.	⿱艹.⿰旉.巴.
𧁉T	⿱艹H⿰旉T巴.
𧁊.	⿳艹.眼心
𧁋.	⿱艹.慜.
𧁌.	⿳𦭝.冖𠈇
𧁌T	⿳𦭝T冖𠈇
𧁍.	⿱艹.輙.
𧁎	⿳䒤.冖政
𧁏	⿱艹H𤴡
𧁐	⿱艹.實.
𧁑	⿱艹H㵕
𧁒	⿱艹H樣
𧁓	⿱艹H儂
𧁔	⿱艹H𥂈T
𧁕	⿳艹H⿰氵幷.𠂇
𧁖	⿱艹H𤲸T
𧁗T	⿳艹H悤J𠂇
𧁗U	⿱蔥H𠂇
𧁘	⿱艹H㜦T
𧁚.	⿱蕊.土.
𧁚T	⿱蕊H土.
𧁜T	⿱艹H慧H
𧁜U	⿱艹H慧J
𧁝	⿳艹H一⿱非.回
𧁞	⿱䒬T⿰示T示T
𧁟	⿱艹H鞍.
𧁠	⿱艹H⿲阝⿱⺈旲T亍
𧁡	⿰⿳艹H一⿱八d⿵冂小s甫.
𧁢	⿱艹H⿰日鳥
𧁣T	⿳𦭝T冖果.
𧁣U	⿳𦭝U冖果.
𧁤	⿱𦭜T⿰只只
𧁥	⿱艹H⿻丨⿵冂⿰糹.糹.
𧁦	⿱艹H罵
𧁧T	⿱艹H⿵冂⿲虫丨糹.
𧁧U	⿱艹H⿵冂⿲虫丨⿱幺.小s
𧁩	⿱艹H𥡂U
𧁬	⿱艹H衝
𧁭	⿱艹H緝.
𧁮	⿱艹H衛
𧁰.	⿱艹.𢿌H
𧁰T	⿱艹H𢿌H
𧁱	⿱艹.敵.
𧁳.	⿳艹.甫z肥.
𧁳U	⿱莆.肥.
𧁵	⿱艹.撫
𧁶U	⿱艹.𠪨V
𧁶V	⿱艹.⿸广.⿳{1:}⿻丄⿱⿴囗丷一八d土.
𧁷U	⿰苦.庫.
𧁷V	⿰苦.庫J
𧁸U	⿳艹.⿵𠁡一⿳一宀.果.
𧁸V	⿳艹.彑⿱宀J果.
𧁹U	⿰庫.苦.
𧁹V	⿰庫J苦.
𧁺U	⿱艹.緘J
𧁺V	⿱艹.緘.
𧁻	⿳艹H㱕T⿰𠂇十
𧁼.	⿱艹.隨.
𧁼T	⿱艹H隨T
𧁽.	⿱艹.遴.
𧁽T	⿱艹H遴H
𧁾.	⿱艹.𤬏.
𧁾T	⿱艹H𤬏.
𧁿.	⿱艹.獨
𧁿T	⿱艹H獨
𧂀.	⿱艹.䫉
𧂀T	⿱艹H䫉
𧂁.	⿱艹.戰
𧂁T	⿱艹H戰
𧂂.	⿱艹.錢
𧂂T	⿱艹H錢
𧂄.	⿱艹.閻.
𧂄T	⿱艹H閻.
𧂅.	⿱艹.穇
𧂅T	⿱艹H穇
𧂇.	⿱艹.⿰爻d尋.
𧂈.	⿱艹.操.
𧂈H	⿱艹H操.
𧂉.	⿱艹.皤.
𧂉T	⿱艹H皤H
𧂊.	⿱艹.韰
𧂊T	⿱艹H韰
𧂋.	⿱艹.憑
𧂋T	⿱艹H憑
𧂌.	⿱艹.䑞
𧂌T	⿱艹H䑞
𧂍.	⿱艹.選.
𧂎T	⿱蒿H死T
𧂏.	⿱艹.遼.
𧂐.	⿱艹.積
𧂐T	⿱艹H積
𧂑.	⿱薦.廾
𧂑T	⿱薦H廾
𧂒.	⿱艹.燋.
𧂒T	⿱艹H燋.
𧂓.	⿰⿳日⿰彡彡巾芅.
𧂓T	⿰⿳日⿰彡彡巾芅H
𧂔.	⿱艹.縠.
𧂔T	⿱艹H縠.
𧂕.	⿳艹.丶⿳𠮛冖⿱口老.
𧂕T	⿱蒿H老T
𧂘T	⿱艹H𤕦.
𧂙.	⿱艹.潟
𧂙T	⿱艹H潟
𧂚.	⿱䔘.皿.
𧂚T	⿱䔘T皿.
𧂛.	⿱艹.甍.
𧂛T	⿱艹H甍H
𧂜.	⿱艹.窶.
𧂜T	⿱艹H窶H
𧂝.	⿳𦭝.冖⿰目戈
𧂝T	⿳𦭝T冖⿰目戈
𧂞.	⿱艹.⿰幸炎.
𧂞T	⿱艹H⿰幸炎.
𧂟.	⿱艹.䝿.
𧂟T	⿱艹H䝿T
𧂠	⿱艹.遺.
𧂡.	⿱蕑.心
𧂡T	⿱蕑H心
𧂢	⿳艹.⿰臣⿱𠂉丶酉.
𧂤.	⿱艹.⿰隹.者.
𧂤T	⿱艹H⿰隹.者K
𧂥	⿱艸⿰帛帛
𧂦	⿱艹.𣚊
𧂧T	⿱艹H澷T
𧂨.	⿱蒂.足
𧂨T	⿱蒂H足
𧂩.	⿱艹.𦃐.
𧂩T	⿱艹H𦃐T
𧂪	⿱艹.⿰冫⿵戊⿱二貝
𧂫	⿱艹.鮑
𧂬	⿱艹.𦔐.
𧂭.	⿱艹.耨.
𧂭H	⿱艹H耨H
𧂮	⿱艹H靜.
𧂯	⿱艹H醖
𧂱	⿱蕨H⿰𠂇十
𧂲	⿱艹H⿰㚔d匊
𧂳	⿱蕇H⿰𠂇十
𧂴	⿳艹H雈⿰𠂇十
𧂵U	⿱蕃.⿰𠂇十
𧂵V	⿱蕃H⿰𠂇十
𧂶	⿱艹H⿸广.𠌵
𧂷	⿱艹H⿸麻T示T
𧂸	⿱艹H壁.
𧂺	⿱艹H⿰耳ty⿱血.心
𧂻	⿱艹H⿰耒pd⿱罒戊
𧂼	⿱艹H橋
𧂽T	⿰𠦝華H
𧂽U	⿰𠦝華.
𧂾	⿱艹H⿸厂⿱𣏟T米T
𧂿	⿱艹H𦠤.
𧃀	⿱艹H⿰虫隻.
𧃁	⿵菛H⿱⿻人d𠮛⺀
𧃂	⿱艹H⿰黃T毛.
𧃃	⿱艹H錦
𧃄	⿱艹H⿰各d⿹勹隹.
𧃅	⿳艹H⿰⿱⺈田禾d心
𧃆	⿱艹H錄H
𧃇	⿱艹H膳H
𧃉.	⿱艹.𣿳U
𧃉T	⿱艹H𣿳T
𧃊	⿳莫.人d⿱丶艮d
𧃋U	⿱艹.餘.
𧃋V	⿱艹.餘H
𧃌	⿱艹.踏
𧃍	⿳艹H⿲止t自匕.⿱八d夂.
𧃎	⿱艹H辥.
𧃏.	⿱艹.歜
𧃏T	⿱艹H歜
𧃐.	⿱艹.蹢.
𧃐K	⿱艹H蹢J
𧃐T	⿱艹H蹢.
𧃑.	⿱艹.鍵.
𧃑T	⿱艹H鍵.
𧃒.	⿱艹.⿰糹.𡝤.
𧃒H	⿱艹H⿰糹.𡝤T
𧃒T	⿱艹H⿰糹.𡝤.
𧃓.	⿱艹.⿰㚔d訇.
𧃓T	⿱艹H⿰㚔d訇.
𧃔.	⿱艹.擢.
𧃔T	⿱艹H擢H
𧃕.	⿱艹.蹇.
𧃕T	⿱艹H蹇.
𧃖.	⿱艹.韱
𧃖T	⿱艹H韱
𧃗.	⿱艹.𥂰
𧃗T	⿱艹H𥂰
𧃘.	⿱艹.⿰缶虘.
𧃘T	⿱艹H⿰缶虘T
𧃙.	⿱艹.韓
𧃙T	⿱艹H韓
𧃚.	⿱艹.膸.
𧃚T	⿱艹H⿰⺼遀T
𧃛.	⿱艹.購
𧃛T	⿱艹H購
𧃜.	⿳艹.⺈⿱買夂.
𧃜T	⿳艹H⺈⿱買夂.
𧃝.	⿱艹.醜.
𧃝T	⿱艹H醜H
𧃞.	⿱艹.冀.
𧃞T	⿱艹H冀H
𧃟.	⿱艹.翼.
𧃟T	⿱艹H翼H
𧃠.	⿱艹.⿰甚.青.
𧃠T	⿱艹H⿰甚H青T
𧃡.	⿱艹.⿰氵⿱巛⿻𦥔.𠆣.
𧃡T	⿱艹H⿰氵⿱巛⿻𦥔T𠆣.
𧃢.	⿱艹.𧇽.
𧃢T	⿱艹H⿸虍H異
𧃣.	⿱艹.𥊽T
𧃣T	⿳𦭝U⿲二一二弟
𧃤.	⿳艹.𦘒⿳一灬貝
𧃤T	⿳艹H𦘒⿳一灬貝
𧃥.	⿳艹.六.⿱冏.衣.
𧃧.	⿱艹.𦄐.
𧃧T	⿱艹H𦄐T
𧃨.	⿱艹.孺.
𧃨T	⿱艹H孺H
𧃩T	⿱艹H⿰犭疑H
𧃪.	⿰多蔄.
𧃪T	⿰多蔄H
𧃫.	⿱艹.⿰亲.昔
𧃫T	⿱艹H⿰亲T昔
𧃬.	⿱艹.⿰木d𤊽.
𧃬T	⿱艹H⿰木d𤊽U
𧃭	⿰⿳艹.コ⿵冂支d⿱⺊困.
𧃮.	⿱艹.燐.
𧃮T	⿱艹H燐H
𧃯.	⿱薩.子.
𧃯T	⿳艹H隡.子.
𧃰H	⿳艹H⿲止t自巳.⿱八d夂.
𧃰T	⿳艹H⿲止t自巳.⿱八d夊.
𧃰V	⿳艹.⿲止t自巳.⿱八d夂.
𧃲V	⿱艹.⿸麻J米.
𧃴	⿱艹.縮J
𧃵	⿰苦.登
𧃶	⿱艹.獴.
𧃷	⿱艹.虧J
𧃸H	⿱艹H徽.
𧃹T	⿰華H枼T
𧃺	⿳艹H⿰柕木d⿰𠂇十
𧃻	⿱薔H⿰𠂇十
𧃽T	⿱艹H應.
𧃾	⿳艹H⿰氵⿱田皿.木d
𧃿T	⿱艹H聰H
𧃿U	⿱艹H聰J
𧄀	⿱薜H⿻亅䒑.
𧄁	⿱艹H霞H
𧄂U	⿱艹H⿰镸⿱人.長
𧄃	⿱艹H⿰耒pd𣳾H
𧄄	⿱䕌T心
𧄅U	⿱艹H懇.
𧄆	⿱艹H⿰禾d敢.
𧄇	⿱艹H𢖍
𧄈U	⿰苔.尞d
𧄈V	⿰苔.尞.
𧄉H	⿱艹H總.
𧄉U	⿱艹H⿰糹.悤J
𧄊U	⿰草.⿱廿⿻人.𠮡
𧄊V	⿰草.⿱卄⿻𠆣.𠮡
𧄋	⿰⿳艹H龴⿵冂支d⿱⺊困.
𧄌H	⿱萬H定.
𧄌U	⿱萬H定J
𧄍.	⿱艹.翹.
𧄍T	⿱艹H翹.
𧄎.	⿱艹.䌛.
𧄎T	⿱艹H䌛T
𧄐.	⿱艹.雙.
𧄐T	⿱艹H雙.
𧄑.	⿱艹.繢.
𧄑T	⿱艹H繢.
𧄒.	⿱艹.瞿.
𧄒T	⿱艹H瞿.
𧄓.	⿰壴t董.
𧄓T	⿰壴t董H
𧄔.	⿱艹.儲.
𧄔T	⿱艹H儲.
𧄕.	⿱艹.織.
𧄕T	⿱艹H織.
𧄖.	⿱艹.𤐫.
𧄖T	⿱艹H𤐫T
𧄗.	⿱艹.⿰禾d置.
𧄗T	⿱艹H⿰禾d置.
𧄘.	⿱艹.𣫖
𧄘T	⿱艹H𣫖
𧄙.	⿱艹.䝐.
𧄙T	⿱艹H䝐T
𧄛.	⿱艹.鞫.
𧄛T	⿱艹H鞫.
𧄜.	⿱艹.繠.
𧄜T	⿱艹H繠.
𧄝.	⿱艹.𥼚
𧄝T	⿱艹H𥼚
𧄞.	⿱艹.鵙
𧄞T	⿱艹H鵙
𧄟T	⿱艹H⿸鹿H豕.
𧄠.	⿱艹.⿰枼T枼.
𧄠T	⿱艹H⿰枼T枼T
𧄡.	⿳艹.⿰缶隹.木.
𧄡T	⿳艹H⿰缶隹.木d
𧄢.	⿱艹.⿰氵⿳彐冖⿱⿰耳J又d人.
𧄢T	⿱艹H⿰氵⿳⿻コ一冖⿱⿰耳ty又d人.
𧄤	⿱艹.嚚
𧄥	⿱艹.⿰耒.d就.
𧄧	⿱艹H韞.
𧄨	⿱艹H檽H
𧄩	⿱薻T⿰𠂇十
𧄫	⿳艹H⿰每⿳丿幺.小s⿰𠂇十
𧄬	⿰薾H友
𧄭	⿱艹H⿰金dt⿱厶𡘃
𧄮	⿱荅H⿰合d合.
𧄯	⿳𦭝.冖𤕻
𧄰	⿱艹.雞.
𧄱K	⿱艹H闒J
𧄱U	⿱艹H闒.
𧄲	⿱艹.謨.
𧄳	⿰草.喬
𧄴	⿰萬.頁
𧄵	⿱艹.獵.
𧄶.	⿱艹.䜌.
𧄶T	⿱艹H⿰糸.𧧈
𧄷.	⿱艹.鶂.
𧄷T	⿱艹H鶂.
𧄸.	⿱艹.舋.
𧄸T	⿳艹H⿲⿸!丘二⿵ㄇ⿱一コ⿹𠃍二冝
𧄹.	⿱艹.識.
𧄹J	⿱艹.識J
𧄹T	⿱艹H識.
𧄺.	⿱艹.顛.
𧄺T	⿱艹H顛.
𧄻.	⿱艹.瀝.
𧄻T	⿱艹H瀝H
𧄼.	⿳𦭝.冖登
𧄼T	⿳𦭝T冖登
𧄽.	⿱艹.贊.
𧄽T	⿱艹H贊.
𧄿.	⿱艹.羸.
𧄿T	⿱艹H羸T
𧅀.	⿱艹.鏨
𧅀T	⿱艹H鏨
𧅁.	⿱艹.疆
𧅁T	⿱艹H疆
𧅂.	⿱艹.繰.
𧅃.	⿱艹.爊.
𧅃T	⿱艹H爊H
𧅄.	⿱艹.夔.
𧅄T	⿱艹H夔T
𧅅.	⿱艹.䞈.
𧅅T	⿱艹H䞈.
𧅆.	⿱艹.繭.
𧅆T	⿱艹H繭T
𧅇.	⿳艹.从d⿵冂⿲糹.丨虫
𧅇T	⿳艹H从d⿵冂⿲⿱幺.小s丨虫
𧅈.	⿱艹.𥣞.
𧅈T	⿱艹H𥣞H
𧅉.	⿱艹.𥨪.
𧅉T	⿱艹H𥨪T
𧅊.	⿱艹.⿺辶.⿱炎d舛
𧅋.	⿳艹.吂.⿲月艮d凡.
𧅋T	⿳艹H吂T⿲⺼艮d⿹㇈㐅
𧅌.	⿱莫.黑.
𧅌T	⿱莫K黑.
𧅎	⿱藚T⿰𠂇十
𧅏	⿱藜H⿰𠂇十
𧅑	⿱艹H霧H
𧅒T	⿳艹H⿲水d口水d金.
𧅒U	⿳艹H⿲水d口水.金.
𧅓.	⿱艹.竆.
𧅓T	⿱艹H竆T
𧅔	⿱艹H饁H
𧅕	⿱艹.臘.
𧅖.	⿱艹.鶪
𧅖T	⿱艹H鶪
𧅘.	⿱艹.羺.
𧅘T	⿱艹H羺H
𧅚.	⿱艹.矍.
𧅚T	⿱艹H矍.
𧅛.	⿱艹.䊮.
𧅛T	⿱艹H䊮T
𧅜.	⿱艹.櫬.
𧅜T	⿱艹H櫬H
𧅞.	⿳艹.⿰耳J又d菆.
𧅟.	⿰⿱芸.木d⿱艹.𣐂
𧅟T	⿰⿱芸H木d⿱艹H𣐂
𧅠.	⿳艹.亠.⿱⿲刀丫⿸!卬乀䀠
𧅠T	⿳艹H亠.⿱⿲刀丫⿸!卬乀䀠
𧅡.	⿱艹.⿰⿱⿴囗⺌炎d吉
𧅡T	⿱艹H⿰⿱⿴囗⺌炎d吉
𧅤	⿳艹H宀.⿱王t缶
𧅥	⿱艹H馨H
𧅦	⿰木d䕟T
𧅧	⿱䓵T鳥
𧅨T	⿱艹H⿰釆d奧T
𧅨U	⿱艹H⿰釆d奧H
𧅪.	⿱萅.䖵
𧅪T	⿱萅H䖵
𧅫	⿱艹.覺
𧅬U	⿰⿱艹.果d蛮.
𧅬V	⿰⿱艹.果d蛮V
𧅭U	⿰草.⿳艹.冖⿱一豕d
𧅭V	⿰草.蒙.
𧅮.	⿱艹.蠡.
𧅰.	⿱艹.護.
𧅰T	⿱艹H護H
𧅱.	⿳艹.亠.⿱⿲刀丫⿸!卬乀⿲丿⿱一韭.丨
𧅱T	⿳艹H亠.⿱⿲刀丫⿸!卬乀⿲丨⿱一韭.丨
𧅲.	⿱艹.𡈹
𧅲T	⿱艹H𡈹
𧅵	⿱艹.顰.
𧅶	⿵菛H⿲糹.丨虫
𧅷	⿱艹H⿰白學
𧅹	⿱艹.⿰幸⿹勹魚
𧅺.	⿱艹.囊
𧅺T	⿱艹H囊
𧅼.	⿱艹.穰.
𧅼T	⿱艹H穰.
𧅽.	⿳艹.⿰鹵有.皿.
𧅽T	⿳艹H⿰鹵有T皿.
𧅾.	⿱艹.𣡈
𧅾T	⿳艹H⿲⿸!丘二⿵ㄇ⿱一丅⿹𠃍二⿱冖果.
𧅿	⿱艹.⿰⿳日冖⿱八d巾鳥
𧆁	⿳艹H丵.⿱⿸耳ty又d⿰𠂇十
𧆂	⿱艹.䜟
𧆃.	⿳艹.吂.⿰腪.凡.
𧆃T	⿳艹H吂T⿰腪T⿹㇈𠂇
𧆄U	⿰束藥.
𧆅	⿳艹H亠.⿱⿲糹.⿱一𠮛糹.弓
𧆆.	⿱艹.⿰示.龠.
