!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
㚅	⿱夂𤯔
㚆	⿳亠日夂
㚇	⿱兇夂[K] ⿳凶儿夊[T] ⿳凶八夂[.]
㚈	⿰夕十
㚉	⿱乃多[.] ⿵乃多[J]
㚊	⿰多亥
㚋	⿰多周
㚌	⿰多果
㚍	⿰多貴
㚎	⿱大凵
㚏	⿱大廾
㚐	⿱大大
㚑	⿱⿻コ一大
㚒	⿻大𠓜
㚓	⿱大木
㚔	⿱大𢆉
㚕	⿱大弗
㚖	⿱丿旲
㚗	⿱大且
㚘	⿰夫夫
㚙	⿱加大
㚚	⿱大名
㚛	⿱大旨
㚜	⿱大或
㚝	⿱大佳
㚞	⿱大林
㚟	⿱㲋大
㚠	⿱大羔
㚡	⿰奇奇
㚢	⿰亻女
㚣	⿱女女
㚤	⿰女弋
㚥	⿰女于
㚦	⿰女丌
㚧	⿰女广
㚨	⿰女卂
㚩	⿰女⿻⺆二[T] ⿰女冄[.]
㚪	⿰女毛
㚫	⿰女及
㚬	⿰女勻[H] ⿰女匀[.]
㚭	⿰女尤
㚮	⿰女冗
㚯	⿰女风
㚰	⿰女丕
㚱	⿰女丘
㚲	⿰女占
㚳	⿰女加
㚴	⿰女布
㚵	⿰女冬
㚶	⿰女㠯
㚷	⿰女尒
㚸	⿰女司
㚹	⿰女卯
㚺	⿰女孕
㚻	⿱田女
㚼	⿰女田
㚽	⿱巧女
㚾	⿰女兄
㚿	⿰女包
㛀	⿰女刍
㛁	⿰女平
㛂	⿰女𠂬
㛃	⿱⿰丰刀女[H] ⿱㓞女[.]
㛄	⿰女衣
㛅	⿰女耳
㛆	⿰女朶
㛇	⿰女庄
㛈	⿰女考
㛉	⿰女西
㛊	⿰女朵
㛌	⿰女牟
㛎	⿰女吕[.] ⿰女呂[T]
㛏	⿰女求
㛐	⿰女更
㛑	⿱𣦼女
㛒	⿰女豆
㛓	⿰女希
㛔	⿰女夆
㛕	⿰女邑
㛖	⿰女夋
㛗	⿰女坐
㛘	⿰女孛
㛙	⿰女辛
㛚	⿰女甬
㛛	⿰女身
㛜	⿱攸女
㛝	⿰女貝
㛞	⿰女弄
㛟	⿰女奂
㛠	⿰女间
㛡	⿰女完
㛢	⿰女秀
㛣	⿰女员
㛤	⿰女丽
㛥	⿰女沓
㛦	⿰女林
㛧	⿰女岩
㛩	⿰女育
㛪	⿰女奄
㛫	⿰女易
㛬	⿰女坴
㛭	⿰女昔
㛮	⿰女叜
㛯	⿰女勉
㛰	⿰女昬
㛱	⿰女畏
㛲	⿰女頁
㛳	⿱帝女
㛴	⿰女𡿺
㛵	⿰女爯
㛶	⿰女炭
㛷	⿱𮂱女
㛸	⿰女壴
㛹	⿰女便
㛺	⿰女音
㛻	⿰女奎
㛼	⿰女臿
㛽	⿰女宩
㛾	⿰女咸
㛿	⿰女带
㜀	⿰女相
㜁	⿰女查
㜂	⿱封女
㜃	⿰女信
㜄	⿰女風
㜅	⿰女畜
㜆	⿰女迷
㜇	⿰女恚
㜈	⿱務女
㜉	⿰女邕
㜊	⿰女展
㜋	⿰女益
㜌	⿰⿳士冖⿱一女殳
㜍	⿰女唐
㜎	⿰女奚
㜏	⿰女員
㜐	⿰女豈
㜑	⿱浦女
㜒	⿰女⿱𦥑廾[T] ⿰女舁[.]
㜓	⿰女荅
㜔	⿰女竞
㜕	⿰女連
㜖	⿰女曹
㜗	⿰女參
㜘	⿰女虘
㜙	⿰女鹿
㜚	⿰女宿
㜛	⿰女軟
㜜	⿰女敖
㜝	⿰女酓
㜞	⿱斬女
㜟	⿰女敢
㜠	⿰女崔
㜡	⿰女從
㜢	⿰女婁
㜣	⿰女然
㜤	⿰女覃
㜥	⿰女買
㜦	⿰女尋
㜧	⿰女厥
㜨	⿰女犀
㜩	⿰女奥[.] ⿰女奧[T]
㜪	⿱新女
㜫	⿰女微
㜬	⿰女詹
㜭	⿰女當
㜮	⿰女監
㜯	⿰女煕[K] ⿰女熙[.]
㜰	⿰女樂
㜱	⿰女質
㜲	⿰女嬴
㜳	⿰女褱
㜴	⿰女瞢
㜵	⿰女褭
㜶	⿰女毚
㜷	⿱彌女
㜸	⿱薛女
㜹	⿰女瞿
㜺	⿰女贊
㜻	⿰女戀
㜼	⿰女⿱畾宜[T] ⿰女疊[.]
㜽	⿱巛子
㜾	⿰子介
㜿	⿰子予
㝀	⿰母子
㝁	⿱旬子
㝂	⿰子折
㝃	⿰子免
㝆	⿰子喜
㝈	⿱䜌孖
㝉	⿱宀一
㝊	⿱宀又
㝋	⿱宀了
㝌	⿱宀久
㝍	⿱宀与
㝎	⿱宀之
㝏	⿱宀介
㝐	⿱丶𠕺
㝑	⿱宀方
㝒	⿱宀古
㝓	⿱宀合
㝔	⿱宀交
㝕	⿱𫲽又
㝖	⿱宀多
