!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
𨧮	⿱弥金
𨧯	⿰金陁
𨧰	⿰金乖
𨧱	⿰金屈
𨧲	⿰金⿱丶𣏏
𨧳	⿱制金
𨧴	⿰金𫨈
𨧵	⿰金⿱⿶凵又𡈼
𨧶	⿰金刼
𨧷	⿰金叔
𨧸	⿱板金
𨧹	⿰金明
𨧺	⿰金秉
𨧻	⿰金弦
𨧼	⿰金芬
𨧽	⿱社金
𨧾	⿰金𢺸
𨨀	⿰金空
𨨁	⿰金𥤧
𨨂	⿰金⿻肀冃
𨨃	⿰金⿱子且
𨨄	⿰金兩
𨨅	⿰金或
𨨆	⿰金𡘆
𨨇	⿰金⿱十㫐[U] ⿰金⿳十日𠤎[T]
𨨈	⿰金⿳艹ス又
𨨉	⿰金⿱䒔𠤎[T] ⿰金⿳艹八𠤎[U]
𨨊	⿰金⿱日开
𨨋	⿰金炅
𨨌	⿰金⿱日𡈼
𨨍	⿰金⿸虍乃
𨨎	⿰金邱
𨨏	⿰金波
𨨐	⿰金岱
𨨑	⿱和金
𨨒	⿰金受
𨨓	⿰金妹
𨨕	⿰金参
𨨖	⿱⿰王王金[.] ⿱玨金[H]
𨨗	⿱林金
𨨘	⿰金臤
𨨙	⿰金⿷匚𢆶
𨨚	⿰金⿱少火
𨨛	⿰金和
𨨝	⿰金舍
𨨞	⿰金斧
𨨟	⿰金忩
𨨠	⿰金匊
𨨡	⿰金於
𨨢	⿰金炊
𨨣	⿰金具
𨨤	⿰金怯
𨨥	⿰金⿱㓁木
𨨦	⿰金枚
𨨧	⿰金妾
𨨨	⿰金征
𨨩	⿰金忠
𨨪	⿰金制
𨨫	⿰金采
𨨬	⿱⿰⿱巛万刂金
𨨭	⿰金⿱艹双
𨨮	⿰金弥
𨨯	⿰金奏
𨨰	⿰金耎
𨨱	⿰金活
𨨲	⿰金持
𨨳	⿰金⿱夂缶
𨨴	⿰金𥄉
𨨵	⿰金研
𨨶	⿰金卸
𨨷	⿰金突
𨨸	⿰金䖟
𨨹	⿰金耷
𨨺	⿱削金
𨨻	⿰金⿱癶殳
𨨼	⿱⿰丬全金
𨨽	⿲金刍攵
𨨾	⿳上𪢴金
𨨿	⿰金⿳穴人又
𨩀	⿰金矦
𨩁	⿱⿲!卬白コ金
𨩂	⿱𥝻金
𨩃	⿰金春
𨩄	⿰金昱
𨩅	⿰金洪
𨩆	⿰金威
𨩇	⿰金南
𨩈	⿰金背
𨩉	⿰⿳人一⿱⿻丨⿱一⿰丶丿一⿳⿰丿乛⿵ㄇ人⿻人一
𨩊	⿰金酋
𨩋	⿰金胃
𨩌	⿰金⿱亦大[U] ⿰金奕[T]
𨩍	⿰金姜
𨩎	⿰金亮
𨩏	⿰金⿱玄牛
𨩐	⿰金娄
𨩑	⿰金⿱十㫒
𨩒	⿰金垚
𨩓	⿱垚金
𨩔	⿰金述
𨩕	⿱⿰車又金
𨩖	⿰金苓
𨩗	⿰金品
𨩘	⿰金⿸虍子
𨩙	⿰金盈
𨩚	⿰金保
𨩛	⿱金星
𨩜	⿰金䖉
𨩝	⿰金⿸虍⿻コ一
𨩞	⿰金⿸虍㐄
𨩟	⿰金峉
𨩠	⿰金省
𨩡	⿰金⿱目歹
𨩢	⿰金看
𨩣	⿰金盆
𨩤	⿰金𦥚
𨩥	⿰金封
𨩦	⿰金苟
𨩧	⿰南金
𨩨	⿰金查
𨩪	⿰金⿱山虫
𨩫	⿰金便
𨩬	⿰金⿱囟大
𨩮	⿰金扃
𨩯	⿰金勉
𨩰	⿰金㚅
𨩱	⿰金彦
𨩲	⿰金咨
𨩳	⿰金⿱䒑全
𨩴	⿰金穿
𨩵	⿰金⿱穴反
𨩶	⿰金冠
𨩷	⿰金𫨻
𨩸	⿰金㢲
𨩹	⿱⿶凵又𨥲
𨩺	⿰金敄
𨩻	⿰金⿳⿶凵又八夂
𨩼	⿰金⿳⺊⿻コ一龰[T] ⿰金⿳⺊彐龰[.]
𨩽	⿰金虐
𨩿	⿰金厚
𨪀	⿰金某
𨪁	⿰金要
𨪂	⿰金㒸
𨪃	⿰金亭
𨪄	⿱垧金
𨪅	⿱鈹毛
𨪆	⿰金竒
𨪇	⿰金⿱世冉
𨪈	⿰金鬼
𨪉	⿰金虒
𨪊	⿰金蚤
𨪋	⿰金冓
𨪌	⿰金耆
𨪍	⿰金娑
𨪎	⿰金彧
𨪏	⿰金疾
𨪐	⿰金𠁁
𨪑	⿰金剗
𨪒	⿰金𠳯
𨪓	⿰金茗
𨪔	⿱牷金
𨪕	⿰金芻
𨪖	⿵⿻⿰王王冂金
𨪗	⿰金笍
𨪘	⿰金⿸厂炎
𨪙	⿰金将
𨪚	⿰金軒
𨪛	⿰金原
𨪜	⿰金恩
𨪝	⿰金虔
𨪞	⿸⿰金广甬
𨪟	⿰金𠅖
𨪠	⿰金𢦷
𨪡	⿰金⿱㐫比
𨪢	⿰金羗
𨪣	⿱⿰⿱丶丙攵金
𨪤	⿰金弱
𨪥	⿰金珠
𨪦	⿰金秦
𨪧	⿱⿲木㐅木金
𨪨	⿰金⿸虍牛
𨪩	⿰金茶
𨪪	⿰金荣
𨪫	⿰金⿱水臼[T] ⿰金㳫[U]
𨪬	⿰金⿳𪛚一⿱廿十
𨪭	⿰金⿸厃⿱儿丰
𨪮	⿰金⿱巛肖
𨪯	⿲金彳⿱䒑之
𨪰	⿰金埀
𨪱	⿱⿰正正金
𨪲	⿰金⿱⿻土丷田
𨪳	⿰金䎡
𨪴	⿰金⿱尤𣅀
𨪵	⿰金眗
𨪶	⿰金晏
𨪷	⿰金骨
𨪸	⿰金𡸁
𨪹	⿺銑王
𨪺	⿰金⿱⿻千从山
𨪻	⿰金𢍃
𨪼	⿰金𠂹
𨪽	⿰金𦤃
𨪾	⿰金⿸𠂆⿸虍人
𨪿	⿰金⿱夗由
𨫀	⿰金展
𨫁	⿰金⿱癶𪠲[U] ⿰金⿳癶口又[.]
𨫂	⿰金⿳穴人夕
𨫃	⿰金宰
𨫅	⿰金倫
𨫆	⿰金庭
𨫇	⿰金朕
𨫈	⿰金座
𨫉	⿰金時
𨫊	⿰金栗
𨫋	⿰金貢
𨫌	⿰金晉[T] ⿰金晋[H]
𨫍	⿰金恵
𨫏	⿰金⿳亠⿲⿱丿丿幺⺀十[K] ⿰金率[.]
𨫐	⿰金窒
𨫑	⿰金患
𨫒	⿰金屚
𨫓	⿰金⿹戓⿱丿土
𨫕	⿰金⿱宀⿺元攵[U] ⿰金𡨥[.]
𨫖	⿰金偒
𨫘	⿰金⿱吅𠙻
𨫙	⿰金⿱𠰞夂[.] ⿰金⿱𠰞夊[T]
𨫚	⿰金⿳亠吕干
𨫛	⿰金䂮
𨫜	⿰金⿱木𣌢
𨫞	⿰金匙
𨫟	⿰金梁
𨫠	⿰金雀
𨫡	⿰金健
𨫢	⿰金商
𨫣	⿱⿰王求金
𨫥	⿱將金
𨫦	⿱⿰⿱𡗜干丸金
𨫧	⿰金習
𨫨	⿰金𤈿
𨫪	⿰金⿱卄⿻𠆣𠮡[V] ⿰金⿱廿⿻人𠮡[H]
𨫫	⿰金頃
𨫬	⿰金乾
𨫭	⿰金陵
𨫮	⿰金貮
𨫯	⿰金蛇
𨫱	⿰金莑
𨫲	⿰金莊
𨫳	⿰金荾
𨫴	⿰金⿸虍⿱口𠀁
𨫵	⿰金國
𨫶	⿰金⿱⺊⿸!皮⿱匕目
𨫷	⿰金魚
𨫸	⿰金盒
𨫹	⿱㻎金
𨫺	⿰金𪎊
𨫻	⿰金推
𨫼	⿰金敖
𨫽	⿰金莘
𨫿	⿰金盔
𨬀	⿰金𠁅
𨬁	⿲金⿱丷帀⿸丿⿻丨⿸𠂇丶
𨬂	⿰金⿱火𢗀
𨬃	⿰金窓
𨬄	⿰金𡨼
𨬅	⿰金𣂞
𨬆	⿰金雩
𨬈	⿰金麻
𨬉	⿰金堆
𨬊	⿰金教
𨬋	⿰金⿱⺜免[V] ⿰金冕[K]
𨬌	⿰金崑
𨬍	⿰金隋
𨬎	⿰金筒
𨬏	⿰金棃
𨬐	⿱厥金
𨬑	⿸厂⿱⿰禾禾金
𨬒	⿰金敢
𨬓	⿰金越
𨬔	⿰金閏
𨬕	⿰金⿱十𪡒
𨬖	⿰金孱
𨬗	⿰金須
𨬘	⿰金⿳艹丶𣏏[T] ⿰金𦯧[.]
𨬙	⿰金啻
𨬚	⿰金黹
𨬜	⿰金厦
𨬝	⿱⿰⿱圥土⿹⺄⿻丿二金[T] ⿱⿰⿱圥土⿹㇈⿻丿二金[U] ⿱⿰⿳土八土丮金[.]
𨬞	⿰金爲
𨬟	⿰金辜
𨬠	⿰金𢽠
𨬡	⿰金渠
𨬢	⿰金羡
𨬤	⿰金𪸿
𨬥	⿰金覚
𨬦	⿰金⿱文⿸厂⿱七手
𨬧	⿰金⿱㐭⿴𠀃丨
𨬨	⿰金⿳𠫓冖牟
𨬩	⿰金琴
𨬪	⿳廿⿻口北金
𨬬	⿰金富
𨬭	⿰金凿
𨬮	⿱⿰柕木金
𨬯	⿰金⿸尸⿱氺㐄[T] ⿰金犀[H]
𨬰	⿰金項
𨬱	⿰金⿱口咢
𨬲	⿰金⿸虍羊
𨬳	⿰金⿸虎手
𨬴	⿰金⿳⺊冖⿳一八目
𨬵	⿰金⿱日幸
𨬶	⿰金萑
𨬷	⿰金⿸虍𠯂
𨬸	⿰金𦊽
𨬹	⿰金⿱丿眾
𨬻	⿰金等
𨬼	⿰金𥭅
𨬽	⿱鄉金
𨬾	⿰金筆
𨬿	⿰金臷
𨭀	⿰金⿳一⿲丨二丨⿵冂𢆉
𨭁	⿰金⿳𡗜人氺
𨭂	⿰金⿻丅⿱冖𠈌
𨭃	⿰金牚
𨭄	⿰金⿳⿻甲艹一八
𨭅	⿰金⿳山𠫓冉
𨭆	⿰金黑
𨭇	⿰金𡍮
𨭈	⿲金犭苖
𨭉	⿱斌金
𨭋	⿰金寕
𨭌	⿰金彭
𨭍	⿰金悲
𨭎	⿰金喜
𨭏	⿰金腔
𨭐	⿰金單
𨭑	⿱統金
𨭒	⿱金⿰⺼空[V] ⿱金腔[U]
𨭓	⿰金⿹𢦏吉[.] ⿰金⿹𢦏𠮷[T]
𨭔	⿱⿰⿱幺小⿱幺小金[U] ⿱絲金[K]
𨭕	⿰金豋
𨭖	⿰金亶
𨭗	⿰金會
𨭘	⿰金黽
𨭙	⿰金⿱𡨄巳
𨭚	⿰金剽
𨭛	⿰金葛
𨭜	⿰金⿱⺜𬙙[T] ⿰金㬅[.]
𨭝	⿰金煞
𨭞	⿱吂⿰月釩[.] ⿱吂⿲⺼金⿹㇈㐅[T]
𨭟	⿰金⿹戈⿱正灬
𨭠	⿰金靳
𨭡	⿰金滔
𨭢	⿲金⿱立⺼犬[T] ⿲金𦚏犬[U]
𨭣	⿰金楚
𨭤	⿰金⿸广⿱{:-1}⿻〢コ舛
𨭥	⿰金業
𨭦	⿰金圓
𨭧	⿳宀䀠金
𨭩	⿰金新
𨭪	⿰金道
𨭫	⿰金𨕂
𨭬	⿰金萬
𨭭	⿰金零
𨭮	⿰金盞
𨭯	⿲金⿳廿口龶力
𨭰	⿰金聖
𨭱	⿰金⿹𢦏里
𨭲	⿰金⿱⺊⿸!皮星[T] ⿰金⿱⺊⿸厂星[U]
𨭳	⿰金⿱串同
𨭴	⿰金⿸虍𠰅
𨭶	⿰金𩶷
𨭷	⿰金鳯
𨭸	⿰金鼓
𨭹	⿰金献
𨭺	⿰金禁
𨭻	⿱⿰求全金
𨭼	⿰金𤊽
𨭽	⿰金𡻎
𨭾	⿰金⿱臼⿵𠘨氺
𨭿	⿰金鼠
𨮀	⿰金⿱隹石
𨮁	⿰金粤
𨮂	⿰金解
𨮃	⿰金𠨣
𨮄	⿰金⿱宀兼[.] ⿰金⿳宀⿰丿丿⿱一⿻〢⿱⿻コ一八[T]
𨮆	⿳⿲⿸!丘二同⿹𠃍二一金
𨮇	⿰金葻
𨮈	⿰金歆
𨮉	⿰金群
𨮊	⿰金斟
𨮋	⿰金愈
𨮌	⿰金預
𨮍	⿰金稟
𨮎	⿰金落
𨮐	⿰金遁
𨮑	⿰金催
𨮒	⿰金夢
𨮓	⿰金僕
𨮔	⿰金與
𨮖	⿱與金
𨮗	⿰金虡
𨮙	⿰金豪
𨮛	⿰金廖
𨮜	⿱漸金
𨮞	⿰金塵
𨮟	⿰金漢
𨮠	⿺光⿱金明
𨮡	⿰金⿸虍𭔫
𨮢	⿰金⿴囗啚[T] ⿰金圖[U]
𨮣	⿰金⿸虍⿱罒亍
𨮤	⿰金蒼
𨮥	⿰金蓉
𨮦	⿰金⿸虍彔
𨮧	⿰金舞
𨮨	⿰金綿
𨮩	⿰金𦓆
𨮪	⿱爾金
𨮫	⿰金輕
𨮬	⿰金𡬽
𨮭	⿰金厮
𨮯	⿰金⿹⿶戈大⿳口丿土
𨮰	⿰金算
𨮱	⿰金箇
𨮳	⿰金熊
𨮴	⿰金⿱登儿
𨮵	⿰金蒙
𨮶	⿰金漂
𨮷	⿰金⿱止⿻丄𠈌
𨮹	⿰金適
𨮺	{𨮺}⿰金⿱⿰禾尤旨[.] ⿰金𥡞[U]
𨮻	⿰金廛
𨮼	⿰金箴
𨮽	⿰金麨
𨮾	⿰金𡔽
𨮿	⿰金箸
𨯀	⿰金稽
𨯁	⿰金樋
𨯂	⿰金震
𨯃	⿰金數
𨯅	⿰金厲
𨯆	⿰金⿱𦍌⿰丿昔
𨯇	⿰金犘
𨯈	⿰金寮
𨯉	⿰金輦
𨯊	⿰金霆
𨯋	⿰金敷
𨯌	⿰金蓮
𨯍	⿱⿰⿱艹医攵金
𨯏	⿰金㽓
𨯐	⿰金⿱𦧚土
𨯑	⿰金億
𨯒	⿰金韯
𨯓	⿰金蔡
𨯔	⿱畾金
𨯕	⿰金靠
𨯖	⿰金𤕨
𨯗	⿰金瑩
𨯙	⿰金慶
𨯚	⿰金慧
𨯛	⿰金蔭
𨯜	⿳⿲⿸!丘二同⿹𠃍二冖金
𨯝	⿰金隨
𨯞	⿱彊金
𨯟	⿰金霍
𨯠	⿰金瞢
𨯡	⿰金⿱人爾
𨯢	⿰金𦎧
𨯣	⿰金禦
𨯤	⿰金嬴
𨯥	⿰金篦
𨯦	⿰金親
𨯧	⿰金燕
𨯨	⿰金熹
𨯩	⿰金㬱
𨯪	⿰金翰
𨯫	⿰金蕚
𨯬	⿰金圜
𨯭	⿰金選
𨯮	⿰金曅
𨯯	⿰金遺
𨯰	⿰金學
𨯵	⿰金興
𨯶	⿰金⿱丨𭂅[U] ⿰金⿳宀𠀆⿳一罒心[K]
𨯷	⿰金䔲
𨯹	⿰金篤
𨯺	⿰金⿱⿲⿸!丘二同⿹𠃍二灭
𨯻	⿰金霝
𨯼	⿸⿰金虍異
𨯽	⿰金篱
𨯾	⿰金舉
𨯿	⿰金鍳
𨰀	⿰⿳人一⿱⿻丨⿱一⿰丶丿一⿳⿰⿻人⿱一一⿻人⿱一一冖⿻丨⿳一⿴口一一
𨰁	⿰金⿱山𨾴
𨰂	⿰金薦
𨰃	⿰金嬰
𨰅	⿰金⿸鹿⿱比匕
𨰈	⿰金擎
𨰉	⿰金𣃍
𨰊	⿰金䇔
𨰋	⿰金禮
𨰌	⿱鞫金
𨰍	⿰金蟲
𨰎	⿰金闐
𨰏	⿰金闒
𨰐	⿰金𤐫
𨰑	⿰金藋
𨰒	⿰齒⿱口金
𨰓	⿰金𥳑
𨰕	⿰金⿹哉韭
𨰗	⿰金藍
𨰘	⿰金豐
𨰙	⿰金𧑿
𨰚	⿰金雙
𨰛	⿰金⿱⿲丶〢丿爾
𨰜	⿰金爵
𨰝	⿰金簡
𨰞	⿰金靡
𨰟	⿰金羆
𨰠	⿰金羸
𨰡	⿰金璽
𨰢	⿱𫠙金
𨰣	⿰金麗
𨰤	⿰金藥
𨰥	⿰金類
𨰦	⿰金寳
𨰧	⿰金寵
𨰩	⿱⿰𦎧攵金
𨰪	⿰金釋
𨰫	⿰金嚴
𨰬	⿰金騫
𨰭	⿰金纂
𨰮	⿰金𣀦
𨰯	⿰𦎧⿱攴金
𨰰	⿰金寶
𨰱	⿳水⿲水白水金
𨰲	⿰金覽
𨰳	⿰金𪉷
𨰴	⿰金曩
𨰵	⿱轟金
𨰶	⿰金⿱⿰臣⿱⺈田金
𨰷	⿰金⿳⿲⿸!丘二同⿹𠃍二冖貝
𨰸	⿰金䜟
𨰹	⿰金鑒
𨰺	⿰金變
𨰻	⿱鍂鍂
𨰼	⿰金鑾
𨰽	⿰金鸞
𨰾	⿰钅马
𨰿	⿰钅乞
𨱀	⿰钅互
𨱁	⿰钅殳
𨱂	⿰钅化
𨱃	⿰钅瓜
𨱄	⿰钅出
𨱅	⿰钅㐱
𨱆	⿰钅戊
𨱇	⿰钅求
𨱈	⿰钅束
𨱉	⿰钅京
𨱊	⿰钅屈
𨱋	⿰钅夌
𨱌	⿰钅贯
𨱍	⿰钅郎
𨱎	⿰钅俞
𨱏	⿰钅荅
𨱐	⿰钅屚
𨱑	⿰钅黄
𨱓	⿰钅焦
𨱔	⿰钅尊
𨱕	⿰钅解
𨱖	⿰钅微
𨱗	⿳⿸┌人一⿰𠄌⿺乀丿[T] ⿻⿸!戉⿱人⿺乀丿一[.]
𨱘	⿳⿸┌丷一八
𨱙	⿰镸几
𨱚	⿰镸殳
𨱛	⿰镸公
𨱜	⿰镸支
𨱝	⿰镸攵
𨱞	⿰镸毛
𨱟	⿰镸欠
𨱠	⿰镸月
𨱡	⿰镸氏
𨱢	⿰镸予
𨱣	⿰镸㕛
𨱤	⿰镸冗
𨱥	⿱不長
𨱦	⿰镸出
𨱧	⿰镸幼
𨱨	⿰镸矛
𨱩	⿰镸⿸千乂[T] ⿰镸叐[.]
𨱪	⿰镸⿻⿵⺆⺀一
𨱫	⿰镸甘
𨱬	⿰镸占
𨱭	⿰镸号
𨱮	⿰镸𪠲
𨱯	⿰镸尒
𨱰	⿰镸弗
𨱱	⿰镸母
𨱲	⿰镸此
𨱳	⿰镸⿱丿犮
𨱴	⿰镸各
𨱵	⿰镸兆
𨱶	⿰镸𡉵[T] ⿲镸!北.⿺乚土[.]
𨱷	⿰镸⿱壬儿
𨱸	⿰镸⿻〢冄
𨱹	⿰镸⿱八支
𨱺	⿰镸⿱士廾
𨱻	⿰镸吉
𨱼	⿱死長
𨱽	⿰镸曳
𨱾	⿰長夷
𨱿	⿰镸戎
𨲀	⿰镸弄
𨲁	⿰镸⿱丿夵[.] ⿰镸𭕇[T]
𨲂	⿰镸赤
𨲃	⿰镸呆
𨲄	⿰镸⿳厶小又
𨲅	⿰長忍
𨲆	⿰镸肖
𨲇	⿰镸宗
𨲈	⿰镸隹
𨲉	⿰镸垂
𨲊	⿰镸岸
𨲋	⿰镸卑
𨲌	⿰镸争[.] ⿰镸爭[T]
𨲍	⿰長長
𨲎	⿰镸易
𨲏	⿰镸卷
𨲐	⿰镸⿱夂丕
𨲑	⿰镸⿱𠬛云
𨲓	⿰镸省
𨲔	⿰镸㚇
𨲕	⿰镸⿱左⺼[T] ⿰镸⿱左冃[.]
𨲖	⿰禺長[V] ⿰禺镸[U]
𨲗	⿰壴長
𨲘	⿰镸者
𨲙	⿰镸頁
𨲚	⿰⿳⿸┌⿱一一一⿸𠃋丶⿳丿⿻丨⿱一人⿳一⿻丨一一[.,T] ⿰镸⿱禾𡈼[U]
𨲛	⿰镸首
𨲜	⿰镸扁
𨲝	⿰镸𣭁
𨲞	⿰镸剔
𨲟	⿰镸容
𨲠	⿰镸差
𨲡	⿰镸笄
𨲢	⿰镸⿱𠙻主[.] ⿰镸⿱𬼈主[T]
𨲣	⿱⿰镸𠙻主
𨲤	⿰镸耆
𨲥	⿰镸⿱八㽚
𨲦	⿰镸⿱此旦[T] ⿰镸𣆟[.]
𨲧	⿰镸從
𨲨	⿰镸產[T] ⿰镸産[.]
𨲩	⿰镸曼
𨲪	⿰镸責
𨲫	⿰镸逢
𨲬	⿰镸𭄶
𨲭	⿰镸喬
𨲮	⿰镸勞
𨲯	⿰镸曾
𨲰	⿰镸⿱毛朋
𨲱	⿰镸叅
𨲲	⿰镸⿱山曷
𨲳	⿰镸農
𨲴	⿰镸萬
𨲵	⿰镸亶
𨲶	⿰镸𢾕
𨲷	⿰長亶
𨲸	⿰镸寧
𨲹	⿰镸截
𨲺	⿰镸賓
𨲻	⿰镸𢀩
𨲼	⿰镸⿻个⿱八⿵冂㸚[T] ⿰镸𤕨[.]
𨲽	⿰镸賛
𨲾	⿰镸臱
𨲿	⿰镸⿱夂貴
𨳀	⿰镸褭
𨳁	⿰镸龍
𨳂	⿰镸毚
𨳃	⿰镸襄
𨳄	⿰镸贊
𨳅	⿰镸竉
𨳆	⿰镸囊
𨳇	⿰⿱一!叚⿱一!𠃛
𨳉	⿵門㇝[T] ⿵門乀[.]
𨳊	⿵門九
𨳋	⿵門几
𨳌	⿱𠄟門
𨳍	⿵門七
𨳎	⿵門二
𨳏	⿱二門
𨳐	⿵門女
𨳑	⿵門亡
𨳒	⿵門小
𨳓	⿵門大
𨳔	⿱一𨳏
𨳕	⿵門子
𨳖	⿵門巛
𨳗	⿵門公
𨳘	⿵門屯
𨳙	⿵門内
𨳚	⿵門分
𨳜	⿵門斤
𨳝	⿵門壬
𨳞	⿵門丑
𨳟	⿵門⿰丩又[.] ⿵門収[U]
𨳠	⿵門冈
𨳡	⿵門⿲一丿⺊
𨳢	⿵門仆
𨳣	⿵門兮
𨳤	⿵門弔
𨳥	⿵門⿰⿴㇇丶⿺乀丿
𨳦	⿵門双
𨳧	⿵門友
𨳨	⿵門天
𨳩	⿵門井
𨳪	⿵門帀
𨳫	⿵門不
𨳬	⿵門尹
𨳭	⿵門片
𨳮	⿵門戈
𨳯	⿵門牛
𨳰	⿵門午
𨳱	⿰午門
𨳲	⿵門卞
𨳳	⿵門主
𨳴	⿵門尔
𨳵	⿵門丙
𨳶	⿵門民
𨳷	⿵門它
𨳸	⿵門田
𨳹	⿵門丱
𨳺	⿵門失
𨳻	⿵門宂
𨳼	⿵門甘
𨳽	⿵門巨
𨳾	⿵門右
𨳿	⿵門外
𨴀	⿵門冋
𨴁	⿵門申
𨴂	⿵閂开
𨴃	⿵門乍
𨴄	⿵門{1:}⿻㇄日[T] ⿵門{1:}⿻乚日[U]
𨴅	⿵門卯
𨴆	⿵門打
𨴇	⿵門⿻工丷
𨴈	⿵門丕
𨴉	⿵門⿰㔿又
𨴊	⿵門矢
𨴋	⿵門玄
𨴌	⿵門⿱厶彐
𨴍	⿵門牟
𨴎	⿵門而
𨴏	⿵門同
𨴐	⿵門先
𨴑	⿵門匡
𨴒	⿵門⿰丰刀[T] ⿵門㓞[.]
𨴓	⿵門危
𨴔	⿵門艸
𨴕	⿵門𠕋
𨴖	⿵閁⿲⿱丿丿𠄌⿺丶丿[.] ⿵閁⿲⿱丿丿𠄌⿺乀丿[U]
𨴗	⿵門至
𨴘	⿵門⿱厶丑
𨴙	⿱二焛
𨴚	⿱幵門[U] ⿱开門[.]
𨴛	⿵門老
𨴜	⿵門有
𨴝	⿵門早
𨴞	⿵門年
𨴟	⿵門⿲亻亻亻
𨴠	⿵門行
𨴡	⿵門兆
𨴢	⿵門多
𨴣	⿵門安
𨴤	⿵門汒
𨴥	⿵門宅
𨴦	⿰⿱又丰門
𨴧	⿵門⿰亻⿸𠂆⿰𠄌丶
𨴨	⿵門束
𨴩	⿵門余
𨴪	⿵門甫
𨴫	⿵門孚
𨴬	⿵門告
𨴭	⿵門甬
𨴮	⿵門⿱䒑心
𨴯	⿵門豕
𨴰	⿵門作
𨴱	⿵門矣
𨴲	⿵門辛
𨴳	⿵門⿰亻⿸𠂆⿰𠄌⿺丶丿
𨴴	⿵門兵
𨴵	⿵門宏
𨴶	⿵門⿰犭分
𨴸	⿵門形
𨴹	⿵門孝
𨴺	⿵門村
𨴻	⿵門里
𨴼	⿵門見
𨴽	⿵門𢗀
𨴾	⿵門別
𨴿	⿵門佉
𨵀	⿵門但
𨵁	⿵門伯
𨵂	⿵門帋
𨵃	⿵門免
𨵄	⿵門完
𨵅	⿵門何
𨵆	⿵門系
𨵇	⿵門⿰女欠
𨵈	⿵門非
𨵉	⿵門幸
𨵊	⿵門戔
𨵋	⿵門委
𨵌	⿵門阿
𨵍	⿵門沾
𨵎	⿵門竒
𨵏	⿵門㝵
𨵑	⿵門⿱⿰一一艸
𨵒	⿵門昇
𨵓	⿵門⿰中中
𨵔	⿵門治
𨵕	⿵門𧈡
𨵖	⿵門忠
𨵗	⿵門卦
𨵘	⿵門虎
𨵙	⿵門具
𨵚	⿵門果
𨵛	⿵門明
𨵜	⿵問{1:}⿻乚日[T] ⿵門黾[.]
𨵝	⿵門沓
𨵞	⿵門乖
𨵠	⿵門屆
𨵡	⿵門屈
𨵢	⿵𫔝大
𨵣	⿱𭁈門
𨵤	⿵門奇
𨵥	⿵門省
𨵦	⿵門⿱亼刖[T] ⿵門俞[.]
𨵧	⿵門咼
𨵨	⿵門洫
𨵩	⿵門畐
𨵪	⿵門頁
𨵫	⿵門若
𨵬	⿵門限
𨵭	⿵門建
𨵮	⿵門重
𨵯	⿵門⿱龶皿
𨵰	⿵門⿱下⿰下下
𨵱	⿵門屋
𨵲	⿵門⿱犬皿
𨵳	⿵門枼
𨵴	⿵門南
𨵵	⿵⿵門太皿
𨵶	⿵門昜
𨵷	⿵門昷
𨵹	⿵門舁
𨵺	⿵門係
𨵻	⿵門⿱爫旧
𨵼	⿵門𠁭
𨵽	⿵門昬
𨵿	⿵門𢇂
𨶀	⿵⿵門艹合
𨶁	⿵門晏
𨶂	⿵門益
𨶃	⿵門託
𨶄	⿱二閵
𨶅	⿵門羔
𨶆	⿵門⿱亼⿸⿴尸一口[T] ⿵門倉[.]
𨶇	⿵門烏
𨶈	⿵門唐
𨶉	⿵門孫
𨶊	⿱倠門
𨶋	⿵門𥙊
𨶌	⿵門迷
𨶍	⿵門𭥴
𨶎	⿵門員
𨶐	⿵門适
𨶑	⿵門臭
𨶒	⿵門舀
𨶓	⿰杀閑
𨶖	⿵門𣴠
𨶘	⿵門𢁅
𨶙	⿵門⿰䏍⿱匕匕[H] ⿵門能[.]
𨶚	⿵門𢇅
𨶛	⿵門貢
𨶞	⿵門𣪏
𨶟	⿵門⿳羽人彐
𨶠	⿵門鳥
𨶡	⿵門悥
𨶢	⿵門魚
𨶤	⿵門章
𨶥	⿵門⿱𢏈大
𨶦	⿵門⿰⿱匕矢欠
𨶧	⿵門𭦌
𨶨	⿵門側
𨶩	⿵門盖
𨶪	⿵門翏
𨶫	⿵門祭
𨶬	⿵門畫
𨶭	⿵門無
𨶮	⿵門壹
𨶯	⿵門黑
𨶰	⿵門黃[T] ⿵門黄[.]
𨶱	⿵門華
𨶲	⿵門焦
𨶳	⿵門視
𨶴	⿵門𡍸
𨶶	⿵門奢
𨶷	⿵⿵門⿰巳巳共
𨶸	⿵門番
